accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0856,0.2908,0.20237437562322572,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.3092,0.2114852637880338,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.052,0.178,0.13776801107048553,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0704,0.2596,0.1831430812635624,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0848,0.2984,0.203997042351878,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.3124,0.21477924173545848,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.176,0.13097735845051264,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0784,0.2468,0.18486221047089405,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.3048,0.21062212853148052,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1008,0.3036,0.21739824762821003,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0488,0.1952,0.1451531501973262,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0748,0.2672,0.18469333431273163,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2936,0.21091338997165418,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.3064,0.21557228638433176,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2052,0.14952090767617823,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2724,0.19654515049247537,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.294,0.20650606647640174,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0996,0.2988,0.21624025002117556,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0452,0.1716,0.1357008007782344,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0904,0.2672,0.19739861059041708,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.3032,0.20804387970090674,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1036,0.318,0.22275998187873516,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0636,0.1996,0.15525876691270296,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0852,0.282,0.19935318609239108,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0936,0.29,0.21114910507137516,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0988,0.308,0.2155329644846338,50,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0624,0.2032,0.15502155834063278,1,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0772,0.2448,0.17962624726137089,5,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.294,0.2073926951896091,20,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.288,0.20675099776778644,50,0,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.056,0.1816,0.14216292782100223,1,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2576,0.18848196449594923,5,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2988,0.21131084859751922,20,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.098,0.2928,0.214829138208833,50,1,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0376,0.1604,0.12397089513894537,1,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0788,0.2588,0.188940510327944,5,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0872,0.2852,0.20320642781763784,20,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1048,0.3032,0.21938528355339246,50,2,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0432,0.1768,0.13556049797546557,1,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2384,0.17997486690789333,5,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0844,0.2808,0.19643426940614359,20,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0928,0.2904,0.20881970539321146,50,3,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.172,0.13546677607096164,1,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0724,0.2528,0.18084877224866153,5,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0816,0.2888,0.19705769350351623,20,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0976,0.2956,0.21154961038297115,50,4,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0372,0.1756,0.1286501532404488,1,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.074,0.244,0.17863136993144554,5,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0868,0.29,0.20188356227453896,20,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.1,0.2948,0.2128502420916804,50,5,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0504,0.196,0.14485452170110355,1,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0764,0.2576,0.1850242356816987,5,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0948,0.2804,0.20802004528592452,20,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2924,0.2130122931538419,50,6,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2028,0.1469843407350481,1,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.0884,0.262,0.19297184758351957,5,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
0.09,0.276,0.20091737394883716,20,7,layer2.0.relu,ResNet18,None,Untrained,PyTorch
