accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0664,0.2268,0.1659095882864494,1,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1216,0.348,0.24523698878998262,5,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.162,0.4228,0.29635529647932474,20,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1728,0.4416,0.3126998901374676,50,0,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0524,0.2208,0.15701492158124666,1,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1204,0.336,0.23935266365923413,5,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1648,0.4168,0.29829140170116536,20,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1788,0.4432,0.31621121086690307,50,1,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.062,0.2036,0.1564601956900448,1,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.138,0.3792,0.2639113283365066,5,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1632,0.4308,0.29859374571073005,20,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1868,0.4484,0.32024978251490854,50,2,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0584,0.2076,0.15564349451008336,1,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1084,0.3228,0.2308191324254001,5,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1628,0.4032,0.2904826176835696,20,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1772,0.4364,0.3142312791219595,50,3,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0572,0.19,0.15022113165321166,1,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1236,0.3436,0.2430450377760652,5,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1752,0.426,0.3048023772679998,20,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1836,0.4472,0.32094681530316554,50,4,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0548,0.192,0.14798300327154915,1,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1132,0.3376,0.23699767402986435,5,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1664,0.4164,0.2989791801513246,20,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1772,0.4464,0.31528036276507493,50,5,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0644,0.214,0.16261725717018735,1,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.118,0.3456,0.2407514995197899,5,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1688,0.4216,0.29944361004466097,20,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1824,0.442,0.3161235831770858,50,6,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0736,0.2284,0.17070912772599767,1,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1256,0.3496,0.24870086326144764,5,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1612,0.4148,0.2941530329137741,20,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1908,0.4384,0.32068175607965765,50,7,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2224,0.1679468083371003,1,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1312,0.3528,0.2508728989950979,5,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1608,0.4152,0.2937575442794896,20,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1772,0.4516,0.31389071643189376,50,8,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0832,0.2436,0.18261454573413738,1,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1316,0.372,0.25870205645597427,5,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1652,0.4264,0.29861531941166497,20,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.1736,0.4316,0.30730052573605465,50,9,layer1.0.relu,ResNet18,None,Untrained,PyTorch
0.0668,0.2108,0.16135970762434002,1,0,layer1.1.relu,ResNet18,None,Untrained,PyTorch
