accuracy (top 1),accuracy (top 5),MRR,n_train,i_repeat,layer,architecture,task,kind,source
0.0908,0.2816,0.202180209216237,20,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.29,0.20962982599891467,50,3,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0496,0.1844,0.1388766757518184,1,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0728,0.2364,0.17323590221251747,5,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0892,0.2752,0.19913493544965166,20,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.096,0.2872,0.21030663969642277,50,4,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0396,0.154,0.123484505689598,1,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0744,0.2388,0.1747082995644891,5,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0896,0.2588,0.1946244483135756,20,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0916,0.2872,0.20508744654936636,50,5,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0424,0.1652,0.1305753291639878,1,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0776,0.2408,0.1787321933582509,5,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.088,0.284,0.20110965726796054,20,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0932,0.3016,0.2091072435007011,50,6,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0444,0.184,0.13741581510324258,1,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.082,0.2396,0.18283874243353712,5,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0944,0.282,0.20229673324761274,20,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0972,0.2904,0.20929676580784054,50,7,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.046,0.1688,0.1315577602146193,1,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.074,0.2424,0.17731797564817034,5,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2908,0.205336776347749,20,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.1084,0.302,0.21670119713553018,50,8,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0412,0.1736,0.12961321015670704,1,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0712,0.2416,0.17479270911484063,5,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
0.0956,0.2772,0.2026603099794838,20,9,layer1.1.relu,ResNet18,None,Untrained,PyTorch
