,Unnamed: 0,layer,score,score_error,architecture,task,kind,source
8,8,c2,0.1147223495553419,0.0059009614981336,AtlasNet,Eig,a_-1.0,pcs_500
9,9,c2,0.1027248751120908,0.0064472650855372,AtlasNet,Eig,a_-1.2,pcs_500
10,10,c2,0.089871714722275,0.0062743703410207,AtlasNet,Eig,a_-1.4,pcs_500
11,11,c2,0.0740631565122442,0.0073611814220526,AtlasNet,Eig,a_-1.6,pcs_500
12,12,c2,0.0582630679125074,0.0078571782419394,AtlasNet,Eig,a_-1.8,pcs_500
13,13,c2,0.04876485507276,0.0073877779035892,AtlasNet,Eig,a_-2,pcs_500
14,14,c2,0.0426244833635555,0.0070885269031268,AtlasNet,Eig,a_-2.2,pcs_500
15,15,c2,0.0417320135562441,0.0071163222331575,AtlasNet,Eig,a_-2.4,pcs_500
16,16,c2,0.0415779682642036,0.0070919497177575,AtlasNet,Eig,a_-2.6,pcs_500
17,17,c2,0.0420861297443151,0.0071291133987322,AtlasNet,Eig,a_-2.8,pcs_500
18,18,c2,0.0417719433010277,0.0072599107010093,AtlasNet,Eig,a_-3,pcs_500
0,0,c2,0.1843303572588381,0.004873957054369,AtlasNet,Eig,a_-0.2,pcs_1000
1,1,c2,0.1795599951015183,0.0055394080893608,AtlasNet,Eig,a_-0.3,pcs_1000
2,2,c2,0.1756092925756769,0.0050437183490547,AtlasNet,Eig,a_-0.4,pcs_1000
3,3,c2,0.167750814014191,0.0051004098550558,AtlasNet,Eig,a_-0.5,pcs_1000
4,4,c2,0.1625678265859052,0.00514430735431,AtlasNet,Eig,a_-0.6,pcs_1000
5,5,c2,0.1527313713085221,0.00560455028637,AtlasNet,Eig,a_-0.7,pcs_1000
6,6,c2,0.1446711072226153,0.0062327524892268,AtlasNet,Eig,a_-0.8,pcs_1000
7,7,c2,0.1364742762727297,0.0060346565899715,AtlasNet,Eig,a_-0.9,pcs_1000
8,8,c2,0.1309110565668738,0.0059594875205827,AtlasNet,Eig,a_-1.0,pcs_1000
9,9,c2,0.1143574875288889,0.0067306931879973,AtlasNet,Eig,a_-1.2,pcs_1000
10,10,c2,0.0985499116111629,0.005962147694912,AtlasNet,Eig,a_-1.4,pcs_1000
11,11,c2,0.0835907102661239,0.0073122315849706,AtlasNet,Eig,a_-1.6,pcs_1000
12,12,c2,0.0687177548737203,0.007534660911796,AtlasNet,Eig,a_-1.8,pcs_1000
13,13,c2,0.0560838637623544,0.0070411598566181,AtlasNet,Eig,a_-2,pcs_1000
14,14,c2,0.0452067894384219,0.0077808845746867,AtlasNet,Eig,a_-2.2,pcs_1000
15,15,c2,0.0423284538342398,0.007060272629924,AtlasNet,Eig,a_-2.4,pcs_1000
16,16,c2,0.0420627941058779,0.0069616641587441,AtlasNet,Eig,a_-2.6,pcs_1000
17,17,c2,0.0416531541466874,0.0068293478786298,AtlasNet,Eig,a_-2.8,pcs_1000
18,18,c2,0.0414032138179674,0.0069350682581612,AtlasNet,Eig,a_-3,pcs_1000
