,layer,score,score_error,architecture,task,kind,source
61,c2,0.0042740296677118,0.0004694121030698,AtlasNet,Eig_seed=0,a_-0.6,pcs_500
62,c2,0.0039979341914784,0.000442900400737,AtlasNet,Eig_seed=0,a_-0.7,pcs_500
63,c2,0.0035936321836695,0.0004110129603459,AtlasNet,Eig_seed=0,a_-0.8,pcs_500
64,c2,0.0031040024711332,0.0003792844714546,AtlasNet,Eig_seed=0,a_-0.9,pcs_500
65,c2,0.002620447300753,0.0003494991335468,AtlasNet,Eig_seed=0,a_-1.0,pcs_500
66,c2,0.0019002807969724,0.0003043400129315,AtlasNet,Eig_seed=0,a_-1.2,pcs_500
67,c2,0.0015054645249801,0.0002738275460781,AtlasNet,Eig_seed=0,a_-1.4,pcs_500
68,c2,0.0012958430447409,0.0002549892637805,AtlasNet,Eig_seed=0,a_-1.6,pcs_500
69,c2,0.0011795923946896,0.0002422926037524,AtlasNet,Eig_seed=0,a_-1.8,pcs_500
70,c2,0.0011093359381433,0.0002334912426853,AtlasNet,Eig_seed=0,a_-2,pcs_500
71,c2,0.0010611903247298,0.0002265942870219,AtlasNet,Eig_seed=0,a_-2.2,pcs_500
72,c2,0.0010281756065595,0.0002219879512614,AtlasNet,Eig_seed=0,a_-2.4,pcs_500
73,c2,0.0010032692479431,0.0002180366878812,AtlasNet,Eig_seed=0,a_-2.6,pcs_500
74,c2,0.000984233000391,0.0002149398847063,AtlasNet,Eig_seed=0,a_-2.8,pcs_500
75,c2,0.0009687535387172,0.0002127965435966,AtlasNet,Eig_seed=0,a_-3,pcs_500
76,c2,0.0031437890568167,0.000460759916934,AtlasNet,Eig_seed=0,a_-0.2,pcs_1000
77,c2,0.0031404945732429,0.0004568390780537,AtlasNet,Eig_seed=0,a_-0.3,pcs_1000
78,c2,0.0031032573850174,0.0004477605410627,AtlasNet,Eig_seed=0,a_-0.4,pcs_1000
79,c2,0.0030104264918573,0.0004331552475901,AtlasNet,Eig_seed=0,a_-0.5,pcs_1000
80,c2,0.0028365959940182,0.0004132956189059,AtlasNet,Eig_seed=0,a_-0.6,pcs_1000
81,c2,0.0025804026683293,0.0003873692700679,AtlasNet,Eig_seed=0,a_-0.7,pcs_1000
82,c2,0.0022637665990786,0.0003558342594439,AtlasNet,Eig_seed=0,a_-0.8,pcs_1000
