,layer,score,score_error,architecture,task,kind,source
61,c2,0.0873636581820249,0.0063121059516643,AtlasNet,Eig_seed=0,a_-0.6,pcs_500
62,c2,0.0808503162090969,0.0069745057866635,AtlasNet,Eig_seed=0,a_-0.7,pcs_500
63,c2,0.0734562802844336,0.0066413487428407,AtlasNet,Eig_seed=0,a_-0.8,pcs_500
64,c2,0.0669833836267634,0.005285165189229,AtlasNet,Eig_seed=0,a_-0.9,pcs_500
65,c2,0.0617537902122518,0.0059018311963137,AtlasNet,Eig_seed=0,a_-1.0,pcs_500
66,c2,0.0512533429875797,0.0046860450008769,AtlasNet,Eig_seed=0,a_-1.2,pcs_500
67,c2,0.0398472394810252,0.0053664802085869,AtlasNet,Eig_seed=0,a_-1.4,pcs_500
68,c2,0.0351348591720334,0.0044293557768962,AtlasNet,Eig_seed=0,a_-1.6,pcs_500
69,c2,0.029293368277304,0.005686016820534,AtlasNet,Eig_seed=0,a_-1.8,pcs_500
70,c2,0.0240230789151536,0.005892036558015,AtlasNet,Eig_seed=0,a_-2,pcs_500
71,c2,0.0205852819487525,0.0058091307250187,AtlasNet,Eig_seed=0,a_-2.2,pcs_500
72,c2,0.0184133937177157,0.0055031745158541,AtlasNet,Eig_seed=0,a_-2.4,pcs_500
73,c2,0.0175656243103818,0.005562363910184,AtlasNet,Eig_seed=0,a_-2.6,pcs_500
74,c2,0.0161674220855966,0.0057046877772686,AtlasNet,Eig_seed=0,a_-2.8,pcs_500
75,c2,0.0160406235938074,0.0053186617148927,AtlasNet,Eig_seed=0,a_-3,pcs_500
76,c2,0.1159676345950917,0.0050057930294834,AtlasNet,Eig_seed=0,a_-0.2,pcs_1000
77,c2,0.1132070046925207,0.0058018489406847,AtlasNet,Eig_seed=0,a_-0.3,pcs_1000
78,c2,0.1106778330802923,0.0060624989668755,AtlasNet,Eig_seed=0,a_-0.4,pcs_1000
79,c2,0.1037975356818767,0.0076768512009959,AtlasNet,Eig_seed=0,a_-0.5,pcs_1000
80,c2,0.0983448566158118,0.008644667512414,AtlasNet,Eig_seed=0,a_-0.6,pcs_1000
81,c2,0.0894124939809039,0.0077913621141937,AtlasNet,Eig_seed=0,a_-0.7,pcs_1000
82,c2,0.0789128115270074,0.0066875709161916,AtlasNet,Eig_seed=0,a_-0.8,pcs_1000
83,c2,0.0700264919154792,0.0053816879890692,AtlasNet,Eig_seed=0,a_-0.9,pcs_1000
84,c2,0.063908474868559,0.0049195264758966,AtlasNet,Eig_seed=0,a_-1.0,pcs_1000
85,c2,0.0558801984573137,0.004433582659064,AtlasNet,Eig_seed=0,a_-1.2,pcs_1000
86,c2,0.048254562316114,0.0044904057400658,AtlasNet,Eig_seed=0,a_-1.4,pcs_1000
87,c2,0.0395118164899849,0.0044406207244638,AtlasNet,Eig_seed=0,a_-1.6,pcs_1000
88,c2,0.032285725964863,0.0040033618197941,AtlasNet,Eig_seed=0,a_-1.8,pcs_1000
89,c2,0.0251262923329543,0.0054683847556211,AtlasNet,Eig_seed=0,a_-2,pcs_1000
90,c2,0.0194398078692592,0.0065628337190071,AtlasNet,Eig_seed=0,a_-2.2,pcs_1000
91,c2,0.0181294594548594,0.0071451268060646,AtlasNet,Eig_seed=0,a_-2.4,pcs_1000
92,c2,0.0177379977381487,0.0060567793366015,AtlasNet,Eig_seed=0,a_-2.6,pcs_1000
93,c2,0.016359262363035,0.0060882275609151,AtlasNet,Eig_seed=0,a_-2.8,pcs_1000
94,c2,0.0153607686049143,0.0053793623551287,AtlasNet,Eig_seed=0,a_-3,pcs_1000
