,layer,score,score_error,architecture,task,kind,source
61,c2,0.0099691637116165,0.0001569300401465,AtlasNet,Eig_seed=0,a_-0.6,pcs_500
62,c2,0.0091989988835146,0.0001518039935316,AtlasNet,Eig_seed=0,a_-0.7,pcs_500
63,c2,0.008320380363618,0.0001486545078038,AtlasNet,Eig_seed=0,a_-0.8,pcs_500
64,c2,0.0073778848388208,0.000147316191745,AtlasNet,Eig_seed=0,a_-0.9,pcs_500
65,c2,0.0064686387397113,0.000150543767933,AtlasNet,Eig_seed=0,a_-1.0,pcs_500
66,c2,0.0049957429731474,0.0001578953398395,AtlasNet,Eig_seed=0,a_-1.2,pcs_500
67,c2,0.0040255651690998,0.0001615377063633,AtlasNet,Eig_seed=0,a_-1.4,pcs_500
68,c2,0.0034434991446601,0.0001610369111312,AtlasNet,Eig_seed=0,a_-1.6,pcs_500
69,c2,0.0031228134332807,0.0001560780206356,AtlasNet,Eig_seed=0,a_-1.8,pcs_500
70,c2,0.0029375315691419,0.0001499864908543,AtlasNet,Eig_seed=0,a_-2,pcs_500
71,c2,0.0028361297598951,0.0001453060737141,AtlasNet,Eig_seed=0,a_-2.2,pcs_500
72,c2,0.0027727575885881,0.000139804018369,AtlasNet,Eig_seed=0,a_-2.4,pcs_500
73,c2,0.0027291105866866,0.0001357565607114,AtlasNet,Eig_seed=0,a_-2.6,pcs_500
74,c2,0.0027041783954543,0.0001349898624746,AtlasNet,Eig_seed=0,a_-2.8,pcs_500
75,c2,0.0026850382341332,0.0001326131485376,AtlasNet,Eig_seed=0,a_-3,pcs_500
76,c2,0.0119142006841233,0.000218485409465,AtlasNet,Eig_seed=0,a_-0.2,pcs_1000
77,c2,0.0115590884823589,0.0002088819561599,AtlasNet,Eig_seed=0,a_-0.3,pcs_1000
78,c2,0.0111168364762429,0.0001979593439634,AtlasNet,Eig_seed=0,a_-0.4,pcs_1000
79,c2,0.0105582019878377,0.0001847258683569,AtlasNet,Eig_seed=0,a_-0.5,pcs_1000
80,c2,0.00985742109396,0.0001720692821012,AtlasNet,Eig_seed=0,a_-0.6,pcs_1000
81,c2,0.009045861418788,0.0001602264163608,AtlasNet,Eig_seed=0,a_-0.7,pcs_1000
82,c2,0.0081441231784149,0.0001520063838957,AtlasNet,Eig_seed=0,a_-0.8,pcs_1000
83,c2,0.0072306260491284,0.000147441414706,AtlasNet,Eig_seed=0,a_-0.9,pcs_1000
84,c2,0.0063567939782806,0.0001483235077749,AtlasNet,Eig_seed=0,a_-1.0,pcs_1000
85,c2,0.0049414289104405,0.000154687592406,AtlasNet,Eig_seed=0,a_-1.2,pcs_1000
86,c2,0.0039977069026402,0.0001599755268833,AtlasNet,Eig_seed=0,a_-1.4,pcs_1000
87,c2,0.0034359208583566,0.0001608796431847,AtlasNet,Eig_seed=0,a_-1.6,pcs_1000
88,c2,0.0031212251482543,0.0001569464687742,AtlasNet,Eig_seed=0,a_-1.8,pcs_1000
89,c2,0.0029430415260501,0.0001521536726247,AtlasNet,Eig_seed=0,a_-2,pcs_1000
90,c2,0.0028390989535004,0.0001472816952887,AtlasNet,Eig_seed=0,a_-2.2,pcs_1000
91,c2,0.0027786065745831,0.0001428084866699,AtlasNet,Eig_seed=0,a_-2.4,pcs_1000
92,c2,0.0027387992519675,0.0001386231744053,AtlasNet,Eig_seed=0,a_-2.6,pcs_1000
93,c2,0.0027082806191739,0.000135186598519,AtlasNet,Eig_seed=0,a_-2.8,pcs_1000
94,c2,0.0026933749335987,0.0001323657285342,AtlasNet,Eig_seed=0,a_-3,pcs_1000
