n,variance,init
80,4.423646828592887,Eig|a_-0.2|v_0.1|stdev_0.1
81,4.416403004162454,Eig|a_-0.2|v_0.1|stdev_0.1
82,4.414239594487746,Eig|a_-0.2|v_0.1|stdev_0.1
83,4.390305176552802,Eig|a_-0.2|v_0.1|stdev_0.1
84,4.379286269430809,Eig|a_-0.2|v_0.1|stdev_0.1
85,4.367351067605755,Eig|a_-0.2|v_0.1|stdev_0.1
86,4.352992041677687,Eig|a_-0.2|v_0.1|stdev_0.1
87,4.347546734386965,Eig|a_-0.2|v_0.1|stdev_0.1
88,4.340500619223906,Eig|a_-0.2|v_0.1|stdev_0.1
89,4.332630597171084,Eig|a_-0.2|v_0.1|stdev_0.1
90,4.310915348434212,Eig|a_-0.2|v_0.1|stdev_0.1
91,4.298153232867567,Eig|a_-0.2|v_0.1|stdev_0.1
92,4.275916156579359,Eig|a_-0.2|v_0.1|stdev_0.1
93,4.268909090198249,Eig|a_-0.2|v_0.1|stdev_0.1
94,4.2655960694276045,Eig|a_-0.2|v_0.1|stdev_0.1
95,4.25668779872723,Eig|a_-0.2|v_0.1|stdev_0.1
96,4.250899785232361,Eig|a_-0.2|v_0.1|stdev_0.1
97,4.2358420658028395,Eig|a_-0.2|v_0.1|stdev_0.1
98,4.2115899914542645,Eig|a_-0.2|v_0.1|stdev_0.1
99,4.20142052012593,Eig|a_-0.2|v_0.1|stdev_0.1
100,4.190053942565211,Eig|a_-0.2|v_0.1|stdev_0.1
101,4.158888001946512,Eig|a_-0.2|v_0.1|stdev_0.1
102,4.144039022497607,Eig|a_-0.2|v_0.1|stdev_0.1
103,4.134634825168651,Eig|a_-0.2|v_0.1|stdev_0.1
104,4.12364264901093,Eig|a_-0.2|v_0.1|stdev_0.1
105,4.114924182344362,Eig|a_-0.2|v_0.1|stdev_0.1
106,4.108279585575994,Eig|a_-0.2|v_0.1|stdev_0.1
107,4.094739173619332,Eig|a_-0.2|v_0.1|stdev_0.1
108,4.0837194107362205,Eig|a_-0.2|v_0.1|stdev_0.1
109,4.079117331656575,Eig|a_-0.2|v_0.1|stdev_0.1
110,4.078192156983941,Eig|a_-0.2|v_0.1|stdev_0.1
111,4.052159089045422,Eig|a_-0.2|v_0.1|stdev_0.1
112,4.040633301444401,Eig|a_-0.2|v_0.1|stdev_0.1
113,4.020708798443315,Eig|a_-0.2|v_0.1|stdev_0.1
114,4.019135767870468,Eig|a_-0.2|v_0.1|stdev_0.1
115,4.007296567531864,Eig|a_-0.2|v_0.1|stdev_0.1
116,3.9983105668607504,Eig|a_-0.2|v_0.1|stdev_0.1
117,3.9856103934298015,Eig|a_-0.2|v_0.1|stdev_0.1
118,3.9762786775799195,Eig|a_-0.2|v_0.1|stdev_0.1
119,3.968756954310469,Eig|a_-0.2|v_0.1|stdev_0.1
120,3.950890491386527,Eig|a_-0.2|v_0.1|stdev_0.1
121,3.9413833100361404,Eig|a_-0.2|v_0.1|stdev_0.1
122,3.9337201603441,Eig|a_-0.2|v_0.1|stdev_0.1
123,3.9299493710794926,Eig|a_-0.2|v_0.1|stdev_0.1
124,3.9138126457386204,Eig|a_-0.2|v_0.1|stdev_0.1
125,3.9019835181671274,Eig|a_-0.2|v_0.1|stdev_0.1
126,3.898567076870992,Eig|a_-0.2|v_0.1|stdev_0.1
127,3.8906716625436006,Eig|a_-0.2|v_0.1|stdev_0.1
128,3.881254673935523,Eig|a_-0.2|v_0.1|stdev_0.1
129,3.86448640825115,Eig|a_-0.2|v_0.1|stdev_0.1
130,3.85417276534026,Eig|a_-0.2|v_0.1|stdev_0.1
131,3.847314908295287,Eig|a_-0.2|v_0.1|stdev_0.1
132,3.837706006233277,Eig|a_-0.2|v_0.1|stdev_0.1
133,3.822739887072607,Eig|a_-0.2|v_0.1|stdev_0.1
134,3.8205998478542416,Eig|a_-0.2|v_0.1|stdev_0.1
135,3.8000759178786927,Eig|a_-0.2|v_0.1|stdev_0.1
136,3.786711832482079,Eig|a_-0.2|v_0.1|stdev_0.1
137,3.7798584402325974,Eig|a_-0.2|v_0.1|stdev_0.1
138,3.7714381412137845,Eig|a_-0.2|v_0.1|stdev_0.1
139,3.7597618037255227,Eig|a_-0.2|v_0.1|stdev_0.1
140,3.757183583304026,Eig|a_-0.2|v_0.1|stdev_0.1
141,3.746174469684515,Eig|a_-0.2|v_0.1|stdev_0.1
142,3.734156786056536,Eig|a_-0.2|v_0.1|stdev_0.1
143,3.720543544538239,Eig|a_-0.2|v_0.1|stdev_0.1
144,3.717195344459638,Eig|a_-0.2|v_0.1|stdev_0.1
145,3.7029426384822615,Eig|a_-0.2|v_0.1|stdev_0.1
146,3.696330765799208,Eig|a_-0.2|v_0.1|stdev_0.1
147,3.6844886357691746,Eig|a_-0.2|v_0.1|stdev_0.1
148,3.683617773229375,Eig|a_-0.2|v_0.1|stdev_0.1
149,3.6706684508651475,Eig|a_-0.2|v_0.1|stdev_0.1
150,3.6694134418333704,Eig|a_-0.2|v_0.1|stdev_0.1
151,3.6528475087712273,Eig|a_-0.2|v_0.1|stdev_0.1
152,3.6420407889068054,Eig|a_-0.2|v_0.1|stdev_0.1
153,3.6362688794767006,Eig|a_-0.2|v_0.1|stdev_0.1
154,3.631499766852918,Eig|a_-0.2|v_0.1|stdev_0.1
155,3.622551084905157,Eig|a_-0.2|v_0.1|stdev_0.1
156,3.605173083881078,Eig|a_-0.2|v_0.1|stdev_0.1
157,3.5989472481023577,Eig|a_-0.2|v_0.1|stdev_0.1
158,3.5918768711580746,Eig|a_-0.2|v_0.1|stdev_0.1
159,3.585839672973495,Eig|a_-0.2|v_0.1|stdev_0.1
160,3.5749458637273195,Eig|a_-0.2|v_0.1|stdev_0.1
