n,variance,init
76,0.00012267776514202457,Eig|a_-0.2|v_0.1|stdev_0.1
77,0.00012221934125545758,Eig|a_-0.2|v_0.1|stdev_0.1
78,0.00012213023982817183,Eig|a_-0.2|v_0.1|stdev_0.1
79,0.00012181141927254237,Eig|a_-0.2|v_0.1|stdev_0.1
80,0.00012172321178042547,Eig|a_-0.2|v_0.1|stdev_0.1
81,0.00012150416129560225,Eig|a_-0.2|v_0.1|stdev_0.1
82,0.00012111020701559047,Eig|a_-0.2|v_0.1|stdev_0.1
83,0.00012065904797318825,Eig|a_-0.2|v_0.1|stdev_0.1
84,0.00012026091850614747,Eig|a_-0.2|v_0.1|stdev_0.1
85,0.00011965888665829949,Eig|a_-0.2|v_0.1|stdev_0.1
86,0.0001195182165231934,Eig|a_-0.2|v_0.1|stdev_0.1
87,0.00011932516667456018,Eig|a_-0.2|v_0.1|stdev_0.1
88,0.00011917520398920412,Eig|a_-0.2|v_0.1|stdev_0.1
89,0.00011897255950639166,Eig|a_-0.2|v_0.1|stdev_0.1
90,0.00011853972800304936,Eig|a_-0.2|v_0.1|stdev_0.1
91,0.0001181779961156751,Eig|a_-0.2|v_0.1|stdev_0.1
92,0.00011752322797795001,Eig|a_-0.2|v_0.1|stdev_0.1
93,0.00011724880410776572,Eig|a_-0.2|v_0.1|stdev_0.1
94,0.0001171834599226638,Eig|a_-0.2|v_0.1|stdev_0.1
95,0.00011702608302864392,Eig|a_-0.2|v_0.1|stdev_0.1
96,0.00011651382071247183,Eig|a_-0.2|v_0.1|stdev_0.1
97,0.00011616858263893386,Eig|a_-0.2|v_0.1|stdev_0.1
98,0.00011577048954543453,Eig|a_-0.2|v_0.1|stdev_0.1
99,0.00011540398449557987,Eig|a_-0.2|v_0.1|stdev_0.1
100,0.00011497961495293243,Eig|a_-0.2|v_0.1|stdev_0.1
101,0.00011432411310389916,Eig|a_-0.2|v_0.1|stdev_0.1
102,0.00011395427078839126,Eig|a_-0.2|v_0.1|stdev_0.1
103,0.0001137379287827954,Eig|a_-0.2|v_0.1|stdev_0.1
104,0.00011331712918507659,Eig|a_-0.2|v_0.1|stdev_0.1
