,layer,score,score_error,architecture,task,kind,source
0,c2,0.1155240420355353,0.0039572574401172,AtlasNet,Eig-Ridge10_-0.2,-0.2,PyTorch
1,mp2,0.1463928147163695,0.0045630085330164,AtlasNet,Eig-Ridge10_-0.2,-0.2,PyTorch
2,c2,0.1143068749625019,0.0040028047374465,AtlasNet,Eig-Ridge10_-0.4,-0.4,PyTorch
3,mp2,0.145578095321096,0.0053675224400193,AtlasNet,Eig-Ridge10_-0.4,-0.4,PyTorch
4,c2,0.1127269930719653,0.0039970570505594,AtlasNet,Eig-Ridge10_-0.5,-0.5,PyTorch
5,mp2,0.1433002928487506,0.0045806028282356,AtlasNet,Eig-Ridge10_-0.5,-0.5,PyTorch
6,c2,0.1108012632805994,0.0043413259175941,AtlasNet,Eig-Ridge10_-0.6,-0.6,PyTorch
7,mp2,0.1427837650658406,0.0043214085642973,AtlasNet,Eig-Ridge10_-0.6,-0.6,PyTorch
8,c2,0.1096488810815989,0.0041896809891736,AtlasNet,Eig-Ridge10_-0.7,-0.7,PyTorch
9,mp2,0.1378710967939648,0.004614751167824,AtlasNet,Eig-Ridge10_-0.7,-0.7,PyTorch
10,c2,0.1083755267248273,0.0045999200244255,AtlasNet,Eig-Ridge10_-0.8,-0.8,PyTorch
11,mp2,0.1327140001691579,0.0048552313511214,AtlasNet,Eig-Ridge10_-0.8,-0.8,PyTorch
12,c2,0.1029334751927077,0.0048247047959389,AtlasNet,Eig-Ridge10_-0.9,-0.9,PyTorch
13,mp2,0.1263118665107791,0.0042728554474697,AtlasNet,Eig-Ridge10_-0.9,-0.9,PyTorch
14,c2,0.1007057429876702,0.0051637870287352,AtlasNet,Eig-Ridge10_-1.0,-1.0,PyTorch
15,mp2,0.1166183158347251,0.0049190519392106,AtlasNet,Eig-Ridge10_-1.0,-1.0,PyTorch
16,c2,0.0927291496142343,0.004996063939768,AtlasNet,Eig-Ridge10_-1.2,-1.2,PyTorch
17,mp2,0.1072374767637313,0.0043192929599983,AtlasNet,Eig-Ridge10_-1.2,-1.2,PyTorch
18,c2,0.0841952895105883,0.0043378186938159,AtlasNet,Eig-Ridge10_-1.4,-1.4,PyTorch
19,mp2,0.0934059105842397,0.0047202491347301,AtlasNet,Eig-Ridge10_-1.4,-1.4,PyTorch
20,c2,0.077636438597147,0.0045044215176949,AtlasNet,Eig-Ridge10_-1.6,-1.6,PyTorch
21,mp2,0.0868125837680326,0.0050963449155206,AtlasNet,Eig-Ridge10_-1.6,-1.6,PyTorch
22,c2,0.0754301913384743,0.0053525137110666,AtlasNet,Eig-Ridge10_-1.8,-1.8,PyTorch
23,mp2,0.0812839113464632,0.0045850517992022,AtlasNet,Eig-Ridge10_-1.8,-1.8,PyTorch
24,c2,0.073864166572994,0.0054122822414513,AtlasNet,Eig-Ridge10_-2,-2,PyTorch
25,mp2,0.0718222920502384,0.0041875385374517,AtlasNet,Eig-Ridge10_-2,-2,PyTorch
26,c2,0.0721697810851724,0.0057272043139647,AtlasNet,Eig-Ridge10_-2.2,-2.2,PyTorch
27,mp2,0.0664108365223195,0.0038123225071916,AtlasNet,Eig-Ridge10_-2.2,-2.2,PyTorch
28,c2,0.0703835680178246,0.005816345713982,AtlasNet,Eig-Ridge10_-2.4,-2.4,PyTorch
29,mp2,0.0583322083035185,0.0037374481065421,AtlasNet,Eig-Ridge10_-2.4,-2.4,PyTorch
30,c2,0.0653659112784111,0.0062909528229307,AtlasNet,Eig-Ridge10_-2.6,-2.6,PyTorch
31,mp2,0.0528246929188918,0.003722226428631,AtlasNet,Eig-Ridge10_-2.6,-2.6,PyTorch
32,c2,0.0589933135619577,0.0063738682765917,AtlasNet,Eig-Ridge10_-2.8,-2.8,PyTorch
33,mp2,0.0520952996501416,0.0038739298475546,AtlasNet,Eig-Ridge10_-2.8,-2.8,PyTorch
34,c2,0.0503295099171297,0.0061529315171541,AtlasNet,Eig-Ridge10_-3,-3,PyTorch
35,mp2,0.0511148917068272,0.0034299887990533,AtlasNet,Eig-Ridge10_-3,-3,PyTorch
