n,variance,layer,architecture,task,kind,source
83,912.3944,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
84,901.9349,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
85,898.3604,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
86,888.0587,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
87,882.8808,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
88,880.4036,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
89,872.8498,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
90,864.27936,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
91,856.56744,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
92,854.66864,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
93,849.75726,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
94,846.58606,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
95,838.88556,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
96,832.4597,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
97,824.12573,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
98,812.9873,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
99,811.89514,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
100,807.6197,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
101,802.18555,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
102,794.55695,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
103,790.23846,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
104,784.90356,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
105,783.8222,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
106,778.80725,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
107,769.5192,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
108,765.2492,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
109,763.11334,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
110,756.5425,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
111,755.90533,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
112,748.0184,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
113,745.82214,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
114,741.67566,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
115,733.2251,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
116,727.13824,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
117,723.0987,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
118,719.2474,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
119,714.2646,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
120,711.4753,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
121,710.2049,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
122,707.0183,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
123,701.6722,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
124,694.76605,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
125,686.1754,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
126,685.0863,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
127,680.6111,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
128,678.934,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
129,675.31226,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
130,669.7399,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
131,664.17505,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
132,660.4198,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
133,658.01086,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
134,649.38495,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
135,647.2104,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
136,644.23706,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
137,642.9642,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
138,637.9872,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
139,633.14246,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
140,628.5102,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
141,627.65924,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
142,624.0004,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
143,622.7378,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
144,617.9938,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
145,613.9749,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
146,610.8779,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
147,606.54675,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
148,606.30725,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
149,601.60345,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
150,598.17474,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
151,593.3348,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
152,589.48596,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
153,587.4295,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
154,580.66766,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
155,580.45355,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
156,577.91705,c2,AtlasNet_seed=0,Standard,a_NA,pcs_1000
