variance,layer,architecture,task,kind,source,n
0.020300096,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020316526,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020410094,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.02044743,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020458335,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020485496,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020502966,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020562958,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.020594086,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019654429,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019605787,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019572448,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019533193,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018627867,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018659808,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01869518,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.0187254,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018753469,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018755924,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018820737,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01887333,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018892532,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018917937,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018943967,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.018962128,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01899541,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.016884316,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019006616,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019098977,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019111803,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019140454,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019156586,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019209798,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.01922489,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019269492,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019300565,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
0.019324817,c2,AtlasNet,seed_0,init_kai_normal,a+pcs_NA,
